timestamp,customer,location
2019-09-02 07:03:00,Christina Boyer,fruit
2019-09-02 07:03:00,Michele Thomas,fruit
2019-09-02 07:04:00,Christina Boyer,fruit
2019-09-02 07:04:00,Michele Thomas,fruit
2019-09-02 07:04:00,Stephanie Rodriguez,fruit
2019-09-02 07:04:00,Jesus Williams,fruit
2019-09-02 07:04:00,Tracy Moore,spices
2019-09-02 07:04:00,Gregory Wiggins,fruit
2019-09-02 07:04:00,Stephanie Moore,fruit
2019-09-02 07:04:00,Sandy Butler,fruit
2019-09-02 07:05:00,Christina Boyer,fruit
2019-09-02 07:05:00,Michele Thomas,fruit
2019-09-02 07:05:00,Stephanie Rodriguez,fruit
2019-09-02 07:05:00,Jesus Williams,drinks
2019-09-02 07:05:00,Tracy Moore,spices
2019-09-02 07:05:00,Gregory Wiggins,drinks
2019-09-02 07:05:00,Stephanie Moore,spices
2019-09-02 07:05:00,Sandy Butler,dairy
2019-09-02 07:06:00,Christina Boyer,fruit
2019-09-02 07:06:00,Michele Thomas,fruit
2019-09-02 07:06:00,Stephanie Rodriguez,dairy
2019-09-02 07:06:00,Tracy Moore,drinks
2019-09-02 07:06:00,Gregory Wiggins,drinks
2019-09-02 07:06:00,Stephanie Moore,drinks
2019-09-02 07:06:00,Sandy Butler,dairy
2019-09-02 07:06:00,Tammy Hunt,dairy
2019-09-02 07:06:00,Wesley Carlson,drinks
2019-09-02 07:06:00,Donald Weber,dairy
2019-09-02 07:06:00,Jennifer Ramirez,drinks
2019-09-02 07:06:00,Matthew Zhang,dairy
2019-09-02 07:06:00,Michelle Dunn,dairy
2019-09-02 07:07:00,Christina Boyer,dairy
2019-09-02 07:07:00,Michele Thomas,fruit
2019-09-02 07:07:00,Stephanie Rodriguez,dairy
2019-09-02 07:07:00,Tracy Moore,fruit
2019-09-02 07:07:00,Gregory Wiggins,drinks
2019-09-02 07:07:00,Stephanie Moore,drinks
2019-09-02 07:07:00,Sandy Butler,dairy
